episodio,recompensa,sucesso,epsilon
77,-9253.478013164911,0,0.6763948591909945
78,-2830.30113351744,1,0.6730128848950395
79,330.2490309931942,1,0.6696478204705644
80,297.41640786499875,1,0.6662995813682115
81,-8988.106752328744,0,0.6629680834613705
82,-3952.7978495245225,1,0.6596532430440636
83,452.32455532033674,1,0.6563549768288433
84,400.3606797749979,1,0.653073201944699
85,394.0,1,0.6498078359349755
86,-10510.708254310695,0,0.6465587967553006
87,-10510.897078281692,0,0.6433260027715241
88,478.0,1,0.6401093727576664
89,-7521.946666412111,0,0.6369088258938781
90,-6298.0,0,0.6337242817644086
91,-190.26786250536315,1,0.6305556603555866
92,434.0,1,0.6274028820538087
93,-727.5292318766576,1,0.6242658676435396
94,-1573.9524079167427,1,0.6211445383053219
95,-11376.88149427276,0,0.6180388156137953
96,472.4852813742386,1,0.6149486215357263
97,-6101.071501606856,1,0.6118738784280476
98,-6333.0715016068525,1,0.6088145090359074
99,-1419.1385019445604,1,0.6057704364907278
100,-253.40873971802614,1,0.6027415843082742
101,140.11077027627488,1,0.5997278763867329
102,-7879.952407916744,1,0.5967292370047992
103,-3578.3910123704704,1,0.5937455908197752
104,186.05877273185286,1,0.5907768628656763
105,-11070.795349465918,1,0.5878229785513479
106,-571.5868887685326,1,0.5848838636585911
107,-9836.000000000002,1,0.5819594443402982
108,-106.00000000000011,1,0.5790496471185967
109,312.0,1,0.5761543988830038
110,-3347.9545689089105,1,0.5732736268885887
111,-3370.3875030502695,1,0.5704072587541458
112,443.41640786499875,1,0.567555222460375
113,-10141.769662222718,0,0.5647174463480732
114,-59.23044737829946,1,0.5618938591163328
115,112.1245154965971,1,0.5590843898207511
116,-432.81747943605194,1,0.5562889678716474
117,-6985.790053650912,1,0.5535075230322891
118,-468.6163879740916,1,0.5507399854171277
119,-2575.9412272681466,1,0.547986285490042
120,-2239.9092779656257,1,0.5452463540625918
121,-12116.001367831654,0,0.5425201222922789
122,289.0599281722833,1,0.5398075216808175
123,-11042.639194247273,0,0.5371084840724134
124,-1524.459340771462,1,0.5344229416520513
125,-707.5030865373669,1,0.531750826943791
126,-148.9634309426334,1,0.5290920728090721
127,462.0,1,0.5264466124450268
128,-3212.3910123704713,1,0.5238143793828016
129,272.0,1,0.5211953074858876
130,306.1760149812701,1,0.5185893309484582
131,440.0907220343745,1,0.5159963842937159
132,-587.309529880285,1,0.5134164023722473
133,-122.0,1,0.510849320360386
134,-8699.384276659584,0,0.5082950737585841
135,-11944.79233408631,0,0.5057535983897912
136,-1119.9474048191191,1,0.5032248303978422
137,166.626415831656,1,0.500708706245853
138,-11030.066852378584,0,0.4982051627146237
139,-5903.954568908909,1,0.49571413690105054
140,-2934.3011335174406,1,0.4932355662165453
141,-11865.533830608132,0,0.4907693883854626
