episodio,recompensa,sucesso,epsilon
488,818.8920240520265,1,0.14300635237083656
489,1014.2264068711928,1,0.14229132060898236
490,1035.0498204307082,1,0.14157986400593744
491,854.2261752992875,1,0.14087196468590776
492,-3557.1655864780532,1,0.14016760486247823
493,1035.4590300647706,1,0.13946676683816583
494,1052.0590300647707,1,0.138769433003975
495,1044.3941029804985,1,0.13807558583895513
496,1025.0242942258565,1,0.13738520790976036
497,1032.1216876123688,1,0.13669828187021155
498,1051.5387818865997,1,0.13601479046086049
499,1004.9569415042095,1,0.1353347165085562
500,1018.7225774829855,1,0.1346580429260134
501,1048.323881554251,1,0.13398475271138335
502,1055.4133825081603,1,0.13331482894782642
503,1008.5,1,0.13264825480308728
504,-521.0578643762688,1,0.13198501352907185
505,1020.4419413859206,1,0.1313250884614265
506,1013.3396103067893,1,0.13066846301911936
507,1043.9891053163817,1,0.13001512070402377
508,519.722469073824,1,0.12936504510050365
509,997.3152298679729,1,0.12871821987500112
510,-482.3352732137655,1,0.12807462877562611
511,1064.4776406404415,1,0.12743425563174798
512,962.6410196624969,1,0.12679708435358925
513,711.6113883008419,1,0.1261630989318213
514,1054.3792206135786,1,0.1255322834371622
515,1027.7189802081432,1,0.12490462201997637
516,758.2,1,0.1242800989098765
517,1004.2577310586391,1,0.12365869841532712
518,1028.0232526704262,1,0.12304040492325048
519,1029.0015325445527,1,0.12242520289863423
520,383.88033988749896,1,0.12181307688414106
521,1050.5175425099137,1,0.12120401149972035
522,1021.6941029804985,1,0.12059799144222175
523,1015.9920240520265,1,0.11999500148501063
524,1006.7977222864645,1,0.11939502647758558
525,530.9999999999998,1,0.11879805134519765
526,-1153.7834151145325,1,0.11820406108847166
527,-112.69135566778687,1,0.1176130407830293
528,1030.0238815542511,1,0.11702497557911415
529,1035.3225774829855,1,0.11643985070121858
530,1042.0106781186548,1,0.11585765144771248
531,1013.9227766016838,1,0.11527836319047392
532,1053.2189802081432,1,0.11470197137452155
533,827.8106781186548,1,0.11412846151764894
534,1050.8,1,0.1135578192100607
535,1074.115945787923,1,0.11299003011401039
536,993.7788655293195,1,0.11242507996344034
537,1033.024865872714,1,0.11186295456362313
538,1032.708771254957,1,0.11130363979080501
539,1010.3258240356726,1,0.11074712159185099
540,1053.3585609973065,1,0.11019338598389174
541,1043.5647267862341,1,0.10964241905397228
542,998.2493781056045,1,0.10909420695870241
543,992.7502884254441,1,0.1085487359239089
544,653.5442890089805,1,0.10800599224428936
545,607.1862138431184,1,0.10746596228306791
546,1017.4,1,0.10692863247165257
547,983.4135777277262,1,0.1063939893092943
548,1047.1941029804984,1,0.10586201936274783
549,988.2268050859363,1,0.10533270926593409
550,1015.9788655293196,1,0.10480604571960442
551,1061.915945787923,1,0.1042820154910064
552,1035.5852927038918,1,0.10376060541355137
553,1007.7950975679639,1,0.1032418023864836
554,1008.2590300647706,1,0.10272559337455119
555,1030.4578404875463,1,0.10221196540767843
556,-1416.088611699161,1,0.10170090558064004
557,1030.3,1,0.10119240105273684
558,1027.0493781056045,1,0.10068643904747315
559,1057.475115548645,1,0.10018300685223579
560,1033.3852927038918,1,0.0996820918179746
561,1004.946931829632,1,0.09918368135888474
562,1048.788578017961,1,0.09868776295209031
563,-526.7999999999986,1,0.09819432413732986
564,1009.3553390593274,1,0.09770335251664321
565,1024.408771254957,1,0.09721483575406
566,1036.882439194738,1,0.09672876157528969
567,1022.8977222864644,1,0.09624511776741324
568,1034.9216876123687,1,0.09576389217857617
569,1039.5891053163818,1,0.09528507271768329
570,1002.8016994374948,1,0.09480864735409487
571,1022.8498204307083,1,0.0943346041173244
572,1053.1212459828648,1,0.09386293109673778
573,1012.5410196624969,1,0.09339361644125409
574,1014.7410196624968,1,0.09292664835904782
575,1020.9116263352131,1,0.09246201511725258
576,-1599.5999999999954,1,0.09199970504166631
